exp,algo,scale,hostname,recv_drop,recv_errs,recv_packets,send_bytes,send_drop,send_errs,send_packets,timestamp
exp1,als,bigdata,cluster-cin-w-4.c.spark-186801.internal,0,0,6585,37583734,0,0,6886,1.513125427500567E9
exp1,als,bigdata,cluster-cin-w-5.c.spark-186801.internal,0,0,5512,35643786,0,0,5977,1.513125427502516E9
exp1,als,bigdata,cluster-cin-w-3.c.spark-186801.internal,0,0,6438,39863476,0,0,6863,1.513125427504118E9
exp1,als,bigdata,cluster-cin-w-0.c.spark-186801.internal,0,0,5224,29979942,0,0,5903,1.513125427506824E9
exp1,als,bigdata,cluster-cin-w-1.c.spark-186801.internal,0,0,5512,31101233,0,0,5917,1.513125432503311E9
exp1,als,bigdata,cluster-cin-w-2.c.spark-186801.internal,0,0,5757,30396523,0,0,6419,1.513125432503978E9
exp1,als,bigdata,cluster-cin-w-6.c.spark-186801.internal,0,0,4874,30265905,0,0,5499,1.513125432504482E9
exp1,als,bigdata,cluster-cin-w-4.c.spark-186801.internal,0,0,6136,37408477,0,0,6626,1.513125432505901E9
exp1,als,bigdata,cluster-cin-w-5.c.spark-186801.internal,0,0,6257,35304000,0,0,6923,1.513125432506615E9
exp1,als,bigdata,cluster-cin-w-3.c.spark-186801.internal,0,0,6495,35861603,0,0,6731,1.513125432508171E9
exp1,als,bigdata,cluster-cin-w-0.c.spark-186801.internal,0,0,4505,27598460,0,0,4896,1.513125432510195E9
exp1,als,bigdata,cluster-cin-w-6.c.spark-186801.internal,0,0,4701,30870983,0,0,5313,1.51312543750674E9
exp1,als,bigdata,cluster-cin-w-2.c.spark-186801.internal,0,0,5181,31194116,0,0,5718,1.513125437508053E9
exp1,als,bigdata,cluster-cin-w-1.c.spark-186801.internal,0,0,4826,31337535,0,0,5217,1.513125437508836E9
exp1,als,bigdata,cluster-cin-w-4.c.spark-186801.internal,0,0,6005,38564179,0,0,6248,1.513125437509068E9
exp1,als,bigdata,cluster-cin-w-5.c.spark-186801.internal,0,0,5027,34231146,0,0,5318,1.51312543751066E9
exp1,als,bigdata,cluster-cin-w-3.c.spark-186801.internal,0,0,5726,37039990,0,0,6027,1.513125437512246E9
exp1,als,bigdata,cluster-cin-w-0.c.spark-186801.internal,0,0,4845,29118465,0,0,5424,1.513125437514935E9
exp1,als,bigdata,cluster-cin-w-4.c.spark-186801.internal,0,0,7664,39266242,0,0,8243,1.513125442512438E9
exp1,als,bigdata,cluster-cin-w-6.c.spark-186801.internal,0,0,5736,33918933,0,0,6327,1.513125442512574E9
exp1,als,bigdata,cluster-cin-w-5.c.spark-186801.internal,0,0,6786,42500348,0,0,7487,1.513125442513403E9
exp1,als,bigdata,cluster-cin-w-2.c.spark-186801.internal,0,0,6280,36286187,0,0,6669,1.513125442514241E9
exp1,als,bigdata,cluster-cin-w-1.c.spark-186801.internal,0,0,5656,36056903,0,0,6010,1.513125442514501E9
exp1,als,bigdata,cluster-cin-w-3.c.spark-186801.internal,0,0,7781,40691318,0,0,8353,1.513125442517843E9
exp1,als,bigdata,cluster-cin-w-0.c.spark-186801.internal,0,0,4940,32324668,0,0,5270,1.513125442518984E9
exp1,als,bigdata,cluster-cin-w-6.c.spark-186801.internal,0,0,4488,32778298,0,0,5037,1.513125447514845E9
exp1,als,bigdata,cluster-cin-w-2.c.spark-186801.internal,0,0,5220,32590703,0,0,5851,1.513125447516126E9
exp1,als,bigdata,cluster-cin-w-4.c.spark-186801.internal,0,0,5319,42374979,0,0,5667,1.513125447516518E9
exp1,als,bigdata,cluster-cin-w-5.c.spark-186801.internal,0,0,5706,32506067,0,0,6130,1.513125447518681E9
exp1,als,bigdata,cluster-cin-w-1.c.spark-186801.internal,0,0,5372,32371987,0,0,5850,1.513125447519398E9
exp1,als,bigdata,cluster-cin-w-0.c.spark-186801.internal,0,0,4537,31176981,0,0,4976,1.513125447523017E9
exp1,als,bigdata,cluster-cin-w-3.c.spark-186801.internal,0,0,5907,38189791,0,0,6092,1.513125447523641E9
exp1,als,bigdata,cluster-cin-w-2.c.spark-186801.internal,0,0,5627,31510475,0,0,6138,1.513125452520273E9
exp1,als,bigdata,cluster-cin-w-4.c.spark-186801.internal,0,0,6315,34141052,0,0,6760,1.513125452520795E9
exp1,als,bigdata,cluster-cin-w-6.c.spark-186801.internal,0,0,5392,29105869,0,0,5973,1.51312545252148E9
exp1,als,bigdata,cluster-cin-w-5.c.spark-186801.internal,0,0,6145,38531006,0,0,6761,1.513125452522768E9
exp1,als,bigdata,cluster-cin-w-1.c.spark-186801.internal,0,0,4826,31581393,0,0,5220,1.513125452524943E9
exp1,als,bigdata,cluster-cin-w-0.c.spark-186801.internal,0,0,4852,27016626,0,0,5430,1.513125452528705E9
exp1,als,bigdata,cluster-cin-w-3.c.spark-186801.internal,0,0,6150,37800856,0,0,6389,1.513125452529269E9
exp1,als,bigdata,cluster-cin-w-2.c.spark-186801.internal,0,0,5472,35269076,0,0,6116,1.513125457525805E9
exp1,als,bigdata,cluster-cin-w-6.c.spark-186801.internal,0,0,4714,35309164,0,0,5257,1.513125457525896E9
exp1,als,bigdata,cluster-cin-w-4.c.spark-186801.internal,0,0,5591,45387854,0,0,5845,1.513125457526053E9
exp1,als,bigdata,cluster-cin-w-5.c.spark-186801.internal,0,0,5580,34092790,0,0,6190,1.513125457528372E9
exp1,als,bigdata,cluster-cin-w-1.c.spark-186801.internal,0,0,5611,33942478,0,0,6175,1.513125457530579E9
exp1,als,bigdata,cluster-cin-w-3.c.spark-186801.internal,0,0,5860,40662831,0,0,6124,1.513125457530867E9
exp1,als,bigdata,cluster-cin-w-0.c.spark-186801.internal,0,0,4660,34129437,0,0,5157,1.513125457531512E9
exp1,als,bigdata,cluster-cin-w-2.c.spark-186801.internal,0,0,4960,27975098,0,0,5468,1.513125462530005E9
exp1,als,bigdata,cluster-cin-w-6.c.spark-186801.internal,0,0,4440,26128313,0,0,4907,1.51312546253141E9
exp1,als,bigdata,cluster-cin-w-4.c.spark-186801.internal,0,0,5559,30118906,0,0,5804,1.513125462532057E9
exp1,als,bigdata,cluster-cin-w-1.c.spark-186801.internal,0,0,4522,27980076,0,0,4832,1.513125462532994E9
exp1,als,bigdata,cluster-cin-w-5.c.spark-186801.internal,0,0,4907,36984780,0,0,5130,1.513125462533181E9
exp1,als,bigdata,cluster-cin-w-3.c.spark-186801.internal,0,0,5368,34209117,0,0,5393,1.513125462536328E9
exp1,als,bigdata,cluster-cin-w-0.c.spark-186801.internal,0,0,4213,23562034,0,0,4619,1.513125462536747E9
exp1,als,bigdata,cluster-cin-w-2.c.spark-186801.internal,0,0,5048,33515403,0,0,5515,1.51312546753555E9
exp1,als,bigdata,cluster-cin-w-6.c.spark-186801.internal,0,0,4453,33817894,0,0,5162,1.513125467536934E9
exp1,als,bigdata,cluster-cin-w-3.c.spark-186801.internal,0,0,5715,38482548,0,0,5884,1.513125467537284E9
exp1,als,bigdata,cluster-cin-w-4.c.spark-186801.internal,0,0,5221,43562673,0,0,5657,1.513125467537351E9
exp1,als,bigdata,cluster-cin-w-1.c.spark-186801.internal,0,0,4691,33361771,0,0,4953,1.513125467538487E9
exp1,als,bigdata,cluster-cin-w-5.c.spark-186801.internal,0,0,5358,31968310,0,0,6130,1.513125467538679E9
