exp,algo,scale,hostname,load5,load10,load15,procs,timestamp
exp1,als,bigdata,cluster-cin-w-0.c.spark-186801.internal,5.72,6.0,6.6,763,1.513125427506824E9
exp1,als,bigdata,cluster-cin-w-1.c.spark-186801.internal,5.71,6.1,6.78,683,1.513125432503311E9
exp1,als,bigdata,cluster-cin-w-2.c.spark-186801.internal,5.3,5.67,6.26,776,1.513125432503978E9
exp1,als,bigdata,cluster-cin-w-6.c.spark-186801.internal,8.67,10.16,11.07,684,1.513125432504482E9
exp1,als,bigdata,cluster-cin-w-4.c.spark-186801.internal,6.48,6.04,6.69,684,1.513125432505901E9
exp1,als,bigdata,cluster-cin-w-5.c.spark-186801.internal,6.42,5.94,6.53,685,1.513125432506615E9
exp1,als,bigdata,cluster-cin-w-3.c.spark-186801.internal,6.69,6.04,6.5,688,1.513125432508171E9
exp1,als,bigdata,cluster-cin-w-0.c.spark-186801.internal,5.26,5.9,6.56,763,1.513125432510195E9
exp1,als,bigdata,cluster-cin-w-6.c.spark-186801.internal,8.06,10.01,11.01,684,1.51312543750674E9
exp1,als,bigdata,cluster-cin-w-2.c.spark-186801.internal,4.88,5.57,6.23,776,1.513125437508053E9
exp1,als,bigdata,cluster-cin-w-1.c.spark-186801.internal,5.41,6.03,6.76,683,1.513125437508836E9
exp1,als,bigdata,cluster-cin-w-4.c.spark-186801.internal,6.68,6.09,6.7,684,1.513125437509068E9
exp1,als,bigdata,cluster-cin-w-5.c.spark-186801.internal,6.63,5.99,6.54,685,1.51312543751066E9
exp1,als,bigdata,cluster-cin-w-3.c.spark-186801.internal,6.88,6.09,6.51,688,1.513125437512246E9
exp1,als,bigdata,cluster-cin-w-0.c.spark-186801.internal,5.72,5.99,6.59,763,1.513125437514935E9
exp1,als,bigdata,cluster-cin-w-4.c.spark-186801.internal,6.54,6.08,6.69,684,1.513125442512438E9
exp1,als,bigdata,cluster-cin-w-6.c.spark-186801.internal,7.41,9.85,10.95,684,1.513125442512574E9
exp1,als,bigdata,cluster-cin-w-5.c.spark-186801.internal,6.66,6.01,6.55,685,1.513125442513403E9
exp1,als,bigdata,cluster-cin-w-2.c.spark-186801.internal,4.49,5.48,6.2,775,1.513125442514241E9
exp1,als,bigdata,cluster-cin-w-1.c.spark-186801.internal,6.1,6.16,6.8,683,1.513125442514501E9
exp1,als,bigdata,cluster-cin-w-3.c.spark-186801.internal,6.81,6.09,6.51,688,1.513125442517843E9
exp1,als,bigdata,cluster-cin-w-0.c.spark-186801.internal,5.82,6.0,6.59,763,1.513125442518984E9
exp1,als,bigdata,cluster-cin-w-6.c.spark-186801.internal,6.82,9.68,10.89,681,1.513125447514845E9
exp1,als,bigdata,cluster-cin-w-2.c.spark-186801.internal,4.13,5.39,6.16,774,1.513125447516126E9
exp1,als,bigdata,cluster-cin-w-4.c.spark-186801.internal,6.02,5.97,6.66,682,1.513125447516518E9
exp1,als,bigdata,cluster-cin-w-5.c.spark-186801.internal,6.36,5.96,6.53,684,1.513125447518681E9
exp1,als,bigdata,cluster-cin-w-1.c.spark-186801.internal,5.61,6.06,6.76,682,1.513125447519398E9
exp1,als,bigdata,cluster-cin-w-0.c.spark-186801.internal,6.4,6.12,6.62,763,1.513125447523017E9
exp1,als,bigdata,cluster-cin-w-3.c.spark-186801.internal,6.26,5.99,6.47,685,1.513125447523641E9
exp1,als,bigdata,cluster-cin-w-2.c.spark-186801.internal,3.8,5.3,6.13,775,1.513125452520273E9
exp1,als,bigdata,cluster-cin-w-4.c.spark-186801.internal,5.54,5.87,6.62,682,1.513125452520795E9
exp1,als,bigdata,cluster-cin-w-6.c.spark-186801.internal,6.35,9.54,10.84,681,1.51312545252148E9
exp1,als,bigdata,cluster-cin-w-5.c.spark-186801.internal,6.58,6.01,6.54,683,1.513125452522768E9
exp1,als,bigdata,cluster-cin-w-1.c.spark-186801.internal,5.72,6.08,6.76,682,1.513125452524943E9
exp1,als,bigdata,cluster-cin-w-0.c.spark-186801.internal,6.61,6.17,6.64,763,1.513125452528705E9
exp1,als,bigdata,cluster-cin-w-3.c.spark-186801.internal,5.92,5.92,6.45,686,1.513125452529269E9
exp1,als,bigdata,cluster-cin-w-2.c.spark-186801.internal,3.49,5.21,6.1,775,1.513125457525805E9
exp1,als,bigdata,cluster-cin-w-6.c.spark-186801.internal,6.56,9.53,10.83,681,1.513125457525896E9
exp1,als,bigdata,cluster-cin-w-4.c.spark-186801.internal,5.09,5.78,6.58,682,1.513125457526053E9
exp1,als,bigdata,cluster-cin-w-5.c.spark-186801.internal,6.37,5.98,6.53,683,1.513125457528372E9
exp1,als,bigdata,cluster-cin-w-1.c.spark-186801.internal,5.99,6.13,6.77,682,1.513125457530579E9
exp1,als,bigdata,cluster-cin-w-3.c.spark-186801.internal,5.45,5.82,6.42,686,1.513125457530867E9
exp1,als,bigdata,cluster-cin-w-0.c.spark-186801.internal,6.72,6.2,6.64,762,1.513125457531512E9
exp1,als,bigdata,cluster-cin-w-2.c.spark-186801.internal,4.1,5.31,6.12,773,1.513125462530005E9
exp1,als,bigdata,cluster-cin-w-6.c.spark-186801.internal,6.84,9.54,10.82,681,1.51312546253141E9
exp1,als,bigdata,cluster-cin-w-4.c.spark-186801.internal,4.68,5.68,6.55,680,1.513125462532057E9
exp1,als,bigdata,cluster-cin-w-1.c.spark-186801.internal,5.67,6.06,6.75,680,1.513125462532994E9
exp1,als,bigdata,cluster-cin-w-5.c.spark-186801.internal,6.02,5.91,6.5,682,1.513125462533181E9
exp1,als,bigdata,cluster-cin-w-3.c.spark-186801.internal,5.01,5.73,6.38,684,1.513125462536328E9
exp1,als,bigdata,cluster-cin-w-0.c.spark-186801.internal,6.26,6.11,6.61,744,1.513125462536747E9
exp1,als,bigdata,cluster-cin-w-2.c.spark-186801.internal,5.05,5.48,6.17,769,1.51312546753555E9
exp1,als,bigdata,cluster-cin-w-6.c.spark-186801.internal,7.09,9.54,10.82,677,1.513125467536934E9
exp1,als,bigdata,cluster-cin-w-3.c.spark-186801.internal,4.61,5.63,6.35,682,1.513125467537284E9
exp1,als,bigdata,cluster-cin-w-4.c.spark-186801.internal,4.31,5.59,6.51,678,1.513125467537351E9
exp1,als,bigdata,cluster-cin-w-1.c.spark-186801.internal,5.85,6.09,6.76,678,1.513125467538487E9
exp1,als,bigdata,cluster-cin-w-5.c.spark-186801.internal,5.54,5.81,6.47,679,1.513125467538679E9
exp1,als,bigdata,cluster-cin-w-0.c.spark-186801.internal,6.08,6.08,6.6,741,1.513125467542333E9
exp1,als,bigdata,cluster-cin-w-2.c.spark-186801.internal,5.77,5.63,6.22,769,1.513125472541152E9
exp1,als,bigdata,cluster-cin-w-6.c.spark-186801.internal,6.92,9.47,10.79,677,1.513125472542433E9
exp1,als,bigdata,cluster-cin-w-3.c.spark-186801.internal,4.56,5.6,6.33,682,1.513125472542943E9
exp1,als,bigdata,cluster-cin-w-4.c.spark-186801.internal,4.77,5.66,6.53,678,1.513125472543012E9
exp1,als,bigdata,cluster-cin-w-5.c.spark-186801.internal,5.73,5.85,6.47,679,1.51312547254427E9
exp1,als,bigdata,cluster-cin-w-1.c.spark-186801.internal,5.79,6.07,6.75,678,1.513125472544493E9
exp1,als,bigdata,cluster-cin-w-0.c.spark-186801.internal,5.59,5.97,6.56,741,1.51312547254787E9
exp1,als,bigdata,cluster-cin-w-2.c.spark-186801.internal,5.7,5.61,6.21,769,1.513125477544489E9
exp1,als,bigdata,cluster-cin-w-4.c.spark-186801.internal,5.18,5.73,6.55,678,1.513125477545323E9
exp1,als,bigdata,cluster-cin-w-5.c.spark-186801.internal,5.92,5.89,6.48,679,1.513125477547037E9
exp1,als,bigdata,cluster-cin-w-6.c.spark-186801.internal,6.69,9.38,10.75,677,1.513125477547099E9
exp1,als,bigdata,cluster-cin-w-1.c.spark-186801.internal,5.56,6.02,6.73,679,1.513125477547876E9
exp1,als,bigdata,cluster-cin-w-3.c.spark-186801.internal,4.92,5.66,6.35,682,1.513125477548372E9
exp1,als,bigdata,cluster-cin-w-0.c.spark-186801.internal,5.14,5.87,6.53,741,1.513125477553503E9
exp1,als,bigdata,cluster-cin-w-4.c.spark-186801.internal,5.49,5.79,6.56,678,1.513125482547822E9
exp1,als,bigdata,cluster-cin-w-2.c.spark-186801.internal,5.25,5.52,6.18,769,1.513125482548696E9
exp1,als,bigdata,cluster-cin-w-1.c.spark-186801.internal,5.28,5.95,6.7,679,1.513125482551886E9
exp1,als,bigdata,cluster-cin-w-5.c.spark-186801.internal,5.76,5.85,6.47,679,1.513125482552747E9
exp1,als,bigdata,cluster-cin-w-6.c.spark-186801.internal,6.15,9.22,10.69,677,1.513125482552938E9
exp1,als,bigdata,cluster-cin-w-3.c.spark-186801.internal,5.08,5.68,6.35,682,1.513125482554384E9
exp1,als,bigdata,cluster-cin-w-0.c.spark-186801.internal,4.73,5.78,6.49,741,1.513125482559046E9
exp1,als,bigdata,cluster-cin-w-4.c.spark-186801.internal,5.45,5.77,6.56,678,1.513125487552923E9
exp1,als,bigdata,cluster-cin-w-2.c.spark-186801.internal,4.83,5.43,6.14,769,1.513125487554254E9
exp1,als,bigdata,cluster-cin-w-6.c.spark-186801.internal,5.66,9.07,10.64,677,1.513125487555224E9
exp1,als,bigdata,cluster-cin-w-1.c.spark-186801.internal,5.01,5.89,6.67,679,1.513125487558297E9
exp1,als,bigdata,cluster-cin-w-5.c.spark-186801.internal,5.86,5.87,6.47,679,1.513125487558522E9
exp1,als,bigdata,cluster-cin-w-3.c.spark-186801.internal,4.84,5.62,6.33,682,1.513125487560027E9
exp1,als,bigdata,cluster-cin-w-0.c.spark-186801.internal,4.91,5.8,6.5,741,1.513125487563518E9
exp1,als,bigdata,cluster-cin-w-4.c.spark-186801.internal,5.01,5.68,6.52,678,1.513125492558667E9
exp1,als,bigdata,cluster-cin-w-2.c.spark-186801.internal,4.44,5.34,6.11,769,1.513125492560003E9
exp1,als,bigdata,cluster-cin-w-6.c.spark-186801.internal,5.21,8.92,10.58,677,1.513125492560838E9
exp1,als,bigdata,cluster-cin-w-1.c.spark-186801.internal,5.09,5.89,6.67,679,1.513125492563939E9
exp1,als,bigdata,cluster-cin-w-5.c.spark-186801.internal,5.63,5.83,6.45,679,1.513125492564751E9
exp1,als,bigdata,cluster-cin-w-3.c.spark-186801.internal,4.45,5.53,6.29,682,1.513125492564867E9
exp1,als,bigdata,cluster-cin-w-0.c.spark-186801.internal,5.32,5.87,6.51,741,1.513125492569301E9
exp1,als,bigdata,cluster-cin-w-2.c.spark-186801.internal,4.89,5.42,6.13,772,1.513125497564353E9
exp1,als,bigdata,cluster-cin-w-4.c.spark-186801.internal,4.61,5.58,6.48,680,1.513125497564469E9
