moment,node,user,system,iowait,softirq,idle
1,2,0.199825152991133,0.062445360309729,0,0,99.7377294866991
1,5,0.137311197103982,0.037448508301086,0.012482836100362,0,99.8127574584946
1,3,0.112401648557512,0.0374672161858374,0.0249781441238916,0,99.8251529911328
1,4,0.212340744441669,0.024981264051961,0,0,99.7626779915064
1,1,0.162418790604698,0.0374812593703148,0.0124937531234383,0,99.7876061969015
1,7,0.124937531234383,0.0374812593703148,0,0,99.8375812093953
1,6,0.2997002997003,0.024975024975025,0.024975024975025,0,99.6503496503497
2,2,2.64702210013735,0.72418529154701,0,0.0374578599076039,96.591334748408
2,5,0.0999250562078441,0.149887584311766,0,0.0124906320259805,99.7376967274544
2,3,0.212314225053079,0.324715873610591,0,0.0249781441238916,99.4379917572124
2,4,0.149943771085843,0.262401599400225,0.0124953142571536,0.0249906285143071,99.5501686867425
2,7,0.124968757810547,0.0249937515621095,0,0,99.8500374906273
2,1,0.0624375624375624,0.04995004995005,0,0,99.8876123876124
2,6,0.124906320259805,0.0874344241818636,0.0124906320259805,0,99.7751686235324
3,2,11.7610298712661,0.799900012498438,0.0124984376952881,0,87.4265716785402
3,5,3.53794224278035,0.750093761720215,0.0125015626953369,0.0125015626953369,95.6869608701088
3,4,3.76673757977725,0.788386935302215,0.0125140783381304,0.0125140783381304,95.4198473282443
3,7,2.87212787212787,0.911588411588412,0.0124875124875125,0.0374625374625375,96.1663336663337
3,3,3.35251438578934,0.888166124593445,0,0.0125093820365274,95.7468101075807
3,6,3.14300025043827,0.926621587778613,0,0.0250438266967193,95.9053343350864
3,1,3.44698388909704,0.811789684026477,0,0.0249781441238916,95.7162482827526
4,7,23.279758915118,2.09693621295831,0.0125565042692115,0.0376695128076344,74.5730788548468
4,2,31.5352697095436,2.4141833270464,0,0.0502954859801333,66.0002514774299
4,5,20.551724137931,1.59247648902821,0.112852664576803,0.0250783699059561,77.717868338558
4,4,22.6771850738793,1.77811169546707,0.0125219133483596,0.0375657400450789,75.4946155772602
4,3,23.0711422845691,2.05410821643287,0.0250501002004008,0.0125250501002004,74.8371743486974
4,6,21.519146264909,1.82046453232894,0.0251098556183302,0.0251098556183302,76.6101694915254
4,1,22.1664994984955,1.89317953861585,0.0250752256770311,0.0501504513540622,75.8650952858576
5,7,21.2037962037962,22.3651348651349,0,0.0374625374625375,56.3936063936064
5,2,25.597098912092,21.833187445292,0.0375140677754158,0.0625234462923596,52.4696761285482
5,5,22.5806451612903,21.4678669667417,0.0875218804701175,0.0375093773443361,55.8264566141535
5,4,21.9817340172651,22.106843488052,0.0250218941573877,0.0375328412360816,55.8488677592894
5,3,20.7667332667333,22.1278721278721,0,0.024975024975025,57.0804195804196
5,6,20.6805955210809,23.0201426247967,0,0.0250218941573877,56.274239959965
5,1,20.3925981495374,24.3310827706927,0,0.0375093773443361,55.2388097024256
6,7,44.0169872595553,55.9205595803148,0,0.024981264051961,0.0374718960779415
6,2,49.0443472829482,50.9431605246721,0,0.0124921923797626,0
6,5,48.4322298563398,51.5677701436602,0,0,0
6,3,47.2520609542843,52.7229577816638,0,0.0124906320259805,0.0124906320259805
6,4,44.9400299850075,55.0099950024987,0,0.0249875062468766,0.0249875062468766
6,6,47.7017237072196,52.2982762927804,0,0,0
6,1,47.5209191957038,52.4416135881104,0,0.0249781441238916,0.0124890720619458
7,7,18.4128176242333,34.3347102265615,0,0.0250344223307047,47.2274377268745
7,2,34.4354335620711,53.3499688084841,0,0.0374298190892077,12.1771678103556
7,5,32.0450281425891,46.9543464665416,0,0.0375234521575985,20.9631019387117
7,4,30.2924268932767,45.0137465633592,0,0,24.6938265433642
7,3,22.675,45.0375,0,0,32.2875
7,6,18.0204948762809,37.1532116970757,0,0.0124968757810547,44.8137965508623
7,1,23.7559389847462,39.0597649412353,0,0.0125031257814454,37.1717929482371
8,7,38.8535031847134,61.0715623829149,0,0.0374672161858374,0.0374672161858374
8,2,45.2035973020235,54.7464401698726,0,0.0499625281039221,0
8,3,41.9447569053868,53.0183727034121,0,0.0874890638670166,4.94938132733408
8,5,36.8848363727205,45.6407694229328,0,0.0124906320259805,17.4619035723208
8,6,43.9490445859873,56.000999125765,0,0.0249781441238916,0.0249781441238916
8,4,34.3164208947763,48.0879780054986,0,0.0374906273431642,17.5581104723819
8,1,41.4813889582813,48.7634274294279,0,0.024981264051961,9.73020234823882
9,7,29.7435897435897,31.3570981863665,0.0125078173858662,0.0250156347717323,38.8617886178862
9,2,36.301112917344,55.0956608728273,0,0.0250093785169439,8.57821683131174
9,5,24.7127872127872,22.0529470529471,0,0.0124875124875125,53.2217782217782
9,4,21.5446138465384,24.0939765058735,0,0.0249937515621095,54.336415896026
9,3,23.2546521793431,22.9299363057325,0.0124890720619458,0.0249781441238916,53.7779442987386
9,6,27.2545590806895,33.7996502623033,0,0.0124906320259805,38.9333000249813
9,1,23.9654956869609,22.1402675334417,0.0250031253906738,0.0375046880860107,53.8317289661208
10,2,41.2896775806048,50.4998750312422,0,0.0874781304673832,8.12296925768558
10,5,27.93107753777,35.9970033712074,0,0.0374578599076039,36.034461231115
10,4,26.3177616787409,33.1501373969523,0.412190856857357,0.024981264051961,40.0949288033975
10,3,34.5236608815083,45.7360469471844,0,0.0499438132101386,19.6903483580971
10,6,36.2476547842401,47.942464040025,0,0.0875547217010632,15.7223264540338
10,7,29.9238166604221,34.9194454852004,0.47458473835394,0.062445360309729,34.6197077557137
10,1,29.2280789407944,38.8958281289033,0,0.0499625281039221,31.8261304021984
11,2,39.9025243689078,53.2366908272932,0,0.0374906273431642,6.82329417645589
11,5,32.6002748969137,44.2084218418093,0,0.0124953142571536,23.1788079470199
11,4,39.1402149462634,46.6133466633342,0,0.0499875031242189,14.1964508872782
11,3,31.8539817477185,38.6548318539817,0.0375046880860107,0.112514064258032,29.3411676459557
11,6,30.9354314974397,34.0327213688023,0,0.0374672161858374,34.9943799175721
11,7,25.9805146140395,37.2845365975518,0,0.0374718960779415,36.6974768923308
11,1,25.8838226108682,34.4784509681449,0.0124921923797626,0.0374765771392879,39.5877576514678
12,2,39.2026993251687,54.1614596350912,0,0.0624843789052737,6.57335666083479
12,5,34.7125,43.5375,0,0.0375,21.7125
12,4,30.8327081770443,37.3968492123031,0,0.0250062515628907,31.7454363590898
12,3,31.1369025333833,39.8352676900037,0,0.0499188818170473,28.977910894796
12,7,33.0793254216115,40.6870705808869,0,0.0249843847595253,26.208619612742
12,6,32.3080770192548,35.6714178544636,0,0.0625156289072268,31.9579894973743
12,1,28.6356821589205,34.4202898550725,0,0.0249875062468766,36.9190404797601
13,2,44.526368407898,48.3129217695576,0,0.0374906273431642,7.1232191952012
13,5,34.5375,43.9875,0.0125,0.0125,21.45
13,4,31.0047488127968,35.6660834791302,0.0124968757810547,0.0249937515621095,33.2916770807298
13,3,31.1180512179888,36.8519675202998,0.0124921923797626,0.0249843847595253,31.9925046845721
13,6,33.4000250093785,39.8399399774916,0,0.0250093785169439,26.735025634613
13,7,28.8947236809202,30.3950987746937,0,0.0250062515628907,40.6851712928232
13,1,32.8126952392853,37.0860927152318,0,0.0124953142571536,30.0887167312258
14,2,38.0172521565196,55.2069008626078,0,0.0375046880860107,6.7383422927866
14,5,23.6293243412014,27.3510678156613,0,0.0374672161858374,48.9821406269514
14,4,25.9407425928241,30.5663207900988,0,0.0250031253906738,43.4679334916865
14,3,28.1948782011243,32.10493441599,0.0124921923797626,0.0124921923797626,39.6752029981262
14,6,26.4716910386202,26.4966879140107,0,0.0249968753905762,47.0066241719785
14,7,25.1280129886349,36.0934182590234,0,0.0374672161858374,38.7411015361559
14,1,25.7488766849725,28.1328007988018,0,0.0124812780828757,46.1058412381428
15,2,44.118014751844,49.8437304663083,0,0.0250031253906738,6.01325165645706
15,5,25.0031222680155,24.5535156737854,0,0.0249781441238916,50.4183839140752
15,4,27.6125,34.4625,0,0.0375,37.8875
15,3,25.0468223248845,29.8664002996629,0.0249719066050693,0.0249719066050693,45.0368335622425
15,6,26.6533316664583,35.4419302412802,0,0.0250031253906738,37.8797349668709
15,7,25.5718035245594,32.9958755155606,0.0249968753905762,0.0249968753905762,41.3823272090989
15,1,27.9325421611493,32.0049968769519,0,0.0124921923797626,40.049968769519
16,2,45.2003495194108,45.7495943078267,0,0.037448508301086,9.01260766446137
16,5,39.0463113219323,48.5457495943078,0,0.012482836100362,12.3954562476595
16,4,37.5359240284893,39.4102211670624,0,0.0124953142571536,23.0413594901912
16,3,41.3577935854237,45.6008985398727,0,0.0374391613627855,13.0038687133408
16,6,43.7484371092773,49.3123280820205,0,0.0500125031257814,6.88922230557639
16,1,41.0310822618899,50.205966795656,0,0.06241418050181,8.70053676195232
16,7,38.4115884115884,41.7457542457542,0,0.0999000999000999,19.7427572427572
17,2,11.8595351162209,21.5696075981005,0.0249937515621095,0.0374906273431642,66.5083729067733
17,5,11.8485189351331,14.0482439695038,0,0,74.1032370953631
17,4,7.03574106473382,13.0342414396401,0,0.0124968757810547,79.917520619845
17,3,4.43639090227443,10.1724568857786,0.0124968757810547,0,85.378655336166
17,6,7.33200099925056,14.8138895828129,0,0.0124906320259805,77.8416187859106
17,1,6.725,13.9125,0,0,79.3625
17,7,11.4428482198626,21.1867582760775,0,0.0124921923797626,67.3579013116802
18,2,1.21310655327664,0.100050025012506,0.0125062531265633,0.0125062531265633,98.6618309154577
18,5,1.9737663960025,0.0999375390381012,0.0249843847595253,0,97.9013116801999
18,3,0.5875,0.0625,0,0,99.35
18,4,0.587353161709573,0.0499875031242189,0.0124968757810547,0,99.3501624593852
18,7,0.637181409295352,0.087456271864068,0.0124937531234383,0.0124937531234383,99.2503748125937
18,6,5.3453228425128,0.212314225053079,0.0249781441238916,0,94.4173847883102
18,1,0.624531601299026,0.124906320259805,0.0124906320259805,0,99.2380714464152
