moment,node,user,system,iowait,softirq,idle
1,2,0.112443778110945,0.0374812593703148,0.0249875062468766,0,99.8250874562719
1,5,0.137345486327881,0.0499438132101386,0.0124859533025346,0.0124859533025346,99.7877387938569
1,4,0.112401648557512,0.0249781441238916,0.0249781441238916,0,99.8376420631947
1,1,0.112415688233825,0.0374718960779415,0.024981264051961,0,99.8251311516363
1,7,0.199775252840554,0.0374578599076039,0,0,99.7627668872518
1,6,0.24975024975025,0.024975024975025,0.0374625374625375,0.0124875124875125,99.6753246753247
1,3,0.212287712287712,0.0374625374625375,0.024975024975025,0,99.7252747252747
2,2,0.0999000999000999,0.0374625374625375,0,0,99.8626373626374
2,5,0.124890720619458,0.112401648557512,0,0.0124890720619458,99.7502185587611
2,4,0.124906320259805,0.024981264051961,0,0,99.8501124156882
2,1,0.112401648557512,0.0249781441238916,0,0,99.8626202073186
2,7,4.29018136335209,1.02564102564103,0.100062539086929,0.0250156347717323,94.5590994371482
2,6,0.249875062468766,0.424787606196902,0,0.0749625187406297,99.2503748125937
2,3,0.224859462835728,0.262336039975016,0.124921923797626,0.0249843847595253,99.3628981886321
3,2,11.699338244475,1.32351105006867,0.237233112748158,0.0249719066050693,86.7149456861031
3,5,11.9503945885006,1.52824752599273,0.0125266190655142,0.0626330953275711,86.4461981711136
3,4,11.531238262176,1.35219732064605,0,0.05008138224615,87.0664830349318
3,1,10.6053026513257,1.40070035017509,0.325162581290645,0.0250125062531266,87.6438219109555
3,7,16.9,1.45,0.025,0.025,81.6
3,6,11.2543815723585,1.61492238357536,0.600901352028042,0.0500751126690035,86.4797195793691
3,3,11.0429447852761,1.4022787028922,0.025040691123075,0.025040691123075,87.5046951295856
4,2,16.9591376284783,1.50413637503134,0.0250689395838556,0.0752068187515668,81.4364502381549
4,5,24.1526487572182,2.09640974140095,0,0.0878734622144113,73.6630680391665
4,4,16.7688649730947,1.32649230384182,0.0250281566762608,0.100112626705043,81.7795019396821
4,1,17.8719137736558,1.55407945857877,0.0751973931570372,0.0877302920165434,80.4110790825918
4,7,17.8406105342174,1.72651069685975,0.0125109470786939,0.0500437883147754,80.3703240335293
4,6,17.4708610101516,1.45381626770272,0.0751973931570372,0.112796089735556,80.887329239253
4,3,16.8630892678034,1.4543630892678,0.0125376128385155,0.0877632898696088,81.5822467402207
5,5,50.7628814407204,34.6423211605803,0,0.0625312656328164,14.5322661330665
5,4,54.8318539817477,29.4661832729091,0,0.0500062507813477,15.6519564945618
5,2,51.3732833957553,35.1061173533084,0,0.0499375780274657,13.4706616729089
5,7,52.8962842487176,32.5785061929188,0,0.0625547353934693,14.4626548229701
5,1,51.2858926342072,34.294631710362,0,0.0374531835205993,14.3820224719101
5,3,54.5568196024503,30.8913614201775,0,0.0250031253906738,14.5268158519815
5,6,52.1510755377689,33.1540770385193,0,0.0625312656328164,14.632316158079
6,5,62.1736414740787,37.7763897564022,0,0.0499687695190506,0
6,4,61.2915313514864,38.6834873844617,0,0.0124906320259805,0.0124906320259805
6,2,63.5852592129919,36.3397876327295,0,0.0249843847595253,0.0499687695190506
6,7,64.0689396777819,35.9060821780942,0,0.0249781441238916,0
6,1,60.7794154384212,39.1831126655009,0,0.0124906320259805,0.024981264051961
6,3,66.2378216337747,33.7371971021734,0,0.024981264051961,0
6,6,63.8101186758276,36.1524047470331,0,0.0249843847595253,0.0124921923797626
7,5,63.6147889083188,36.3602298276293,0,0,0.024981264051961
7,4,66.7707292707293,33.1918081918082,0,0.0124875124875125,0.024975024975025
7,2,65.9547895591358,34.0452104408642,0,0,0
7,7,61.7037222083437,38.2837871596303,0,0.0124906320259805,0
7,1,62.685821361649,37.2891942535915,0,0.0249843847595253,0
7,3,69.4642188085425,30.4858249032097,0,0.0499562882477832,0
7,6,66.4376717461904,33.5623282538096,0,0,0
8,5,66.1546147121269,33.8328962158112,0,0.0124890720619458,0
8,4,63.5898076442668,36.3852110916812,0,0.024981264051961,0
8,2,62.7279540344741,37.2720459655259,0,0,0
8,7,63.8521109168124,36.1229078191356,0,0.024981264051961,0
8,1,65.2597402597403,34.7027972027972,0,0.024975024975025,0.0124875124875125
8,3,64.1643767174619,35.8231326505121,0,0.0124906320259805,0
8,6,65.3303359560385,34.6446858998376,0,0.0249781441238916,0
9,5,67.291120269764,32.6464343699263,0,0.062445360309729,0
9,4,68.8022979892594,31.1602347945548,0,0.0374672161858374,0
9,2,63.2821281378794,36.6179592856251,0,0.0749344323716748,0.0249781441238916
9,7,63.8895828128903,36.0729452910317,0,0.0374718960779415,0
9,1,66.0047458473835,33.9452978643687,0,0.0499562882477832,0
9,3,65.400949288034,34.5116162877842,0,0.0749437921558831,0.0124906320259805
9,6,66.3252560579565,33.6747439420435,0,0,0
10,5,56.789506558401,43.1855090568395,0,0.0249843847595253,0
10,4,66.8082448469706,33.1542785758901,0,0.0374765771392879,0
10,2,67.7616787409443,32.2258306270297,0,0.0124906320259805,0
10,7,65.1348651348651,34.8026973026973,0,0.0374625374625375,0.024975024975025
10,1,64.3722673329169,35.577763897564,0,0.0374765771392879,0.0124921923797626
10,3,66.0172349194455,33.9328087923067,0,0.0499562882477832,0
10,6,66.5417759460472,33.3832896215811,0,0.0749344323716748,0
11,5,63.8396202847864,36.1478890831876,0,0.0124906320259805,0
11,4,64.6228771228771,35.3396603396603,0,0.0124875124875125,0.024975024975025
11,2,66.025480889333,33.974519110667,0,0,0
11,7,64.5934807043837,35.3815411514924,0,0.0249781441238916,0
11,1,63.5989010989011,36.3636363636364,0,0.0124875124875125,0.024975024975025
11,3,67.0372220834374,32.9502872845366,0,0,0.0124906320259805
11,6,63.6897327004746,36.2852860354734,0,0.0124906320259805,0.0124906320259805
12,5,65.6800299737729,34.3074809541651,0,0.0124890720619458,0
12,4,65.363477391956,34.636522608044,0,0,0
12,2,64.6390207344492,35.3609792655508,0,0,0
12,7,64.1688522542775,35.7811914574747,0,0.0499562882477832,0
12,1,67.7201748906933,32.2798251093067,0,0,0
12,3,63.6988011988012,36.2887112887113,0,0,0.0124875124875125
12,6,68.4986260304771,31.4888833374969,0,0.0124906320259805,0
13,5,66.371018113679,33.628981886321,0,0,0
13,4,64.3187211190209,35.6438116647933,0,0.0249781441238916,0.0124890720619458
13,2,63.144748345198,36.8427625827401,0,0,0.0124890720619458
13,7,66.8790604697651,33.0709645177411,0,0.0499750124937531,0
13,1,65.1929561633571,34.782065692519,0,0.0249781441238916,0
13,3,66.8998251311516,33.0751936047964,0,0.024981264051961,0
13,6,65.6800299737729,34.2700137379793,0,0.0499562882477832,0
14,5,63.8396202847864,36.1353984511616,0,0.024981264051961,0
14,4,64.763927054709,35.223582313265,0,0.0124906320259805,0
14,2,66.1171474959411,33.8578743599351,0,0.0249781441238916,0
14,7,63.3320844261271,36.642937429749,0,0.0249781441238916,0
14,1,65.9088069956277,34.0662086196127,0,0.0249843847595253,0
14,3,66.7624281788658,33.2000999250562,0,0.0374718960779415,0
14,6,69.5853110167374,30.4021983512366,0,0.0124906320259805,0
15,5,65.0805545147995,34.9069564131385,0,0.0124890720619458,0
15,4,62.4656507619286,37.4843867099675,0,0.024981264051961,0.024981264051961
15,2,69.0981763677242,30.8268798401199,0,0.0124906320259805,0.0624531601299026
15,7,68.1488883337497,31.8511116662503,0,0,0
15,1,68.0489632775418,31.9010741943542,0,0.0499625281039221,0
15,3,67.0288497564631,32.946172099413,0,0.0249781441238916,0
15,6,64.1983016983017,35.7517482517483,0,0.024975024975025,0.024975024975025
16,5,64.1608391608392,35.8141858141858,0,0.0124875124875125,0.0124875124875125
16,4,63.5648263802148,36.4351736197852,0,0,0
16,2,64.3767174619036,35.6232825380964,0,0,0
16,7,63.9145640769423,36.0729452910317,0,0,0.0124906320259805
16,1,69.5603297526855,30.4271796152885,0,0.0124906320259805,0
16,3,65.3678031722243,34.6197077557137,0,0.0124890720619458,0
16,6,62.3579368052954,37.6295741226427,0,0.0124890720619458,0
17,5,62.3407444416687,37.6467649263053,0,0.0124906320259805,0
17,4,61.1589858873486,38.8160359685275,0,0.0124890720619458,0.0124890720619458
17,2,58.8286713286713,41.1213786213786,0,0.0124875124875125,0.0374625374625375
17,7,51.2926189584114,48.6699138254028,0,0.0374672161858374,0
17,1,65.2928687398526,34.6821531160235,0,0.0249781441238916,0
17,3,63.2854465958776,36.7020612117427,0,0.0124921923797626,0
17,6,63.9020734449163,36.0979265550837,0,0,0
18,5,61.5961034095167,38.3914075184214,0,0.0124890720619458,0
18,4,61.1589858873486,38.8285250405895,0,0.0124890720619458,0
18,2,55.6457656757432,44.3542343242568,0,0,0
18,7,37.2517176764522,62.5858838226109,0.0249843847595253,0,0.137414116177389
18,1,63.8475952529669,36.1524047470331,0,0,0
18,3,60.279790157382,39.6952285785661,0,0.024981264051961,0
18,6,57.0072445665751,42.980264801399,0,0.0124906320259805,0
19,5,49.843847595253,50.1436602123673,0,0,0.0124921923797626
19,4,58.286499313101,41.713500686899,0,0,0
19,2,53.8096427679241,46.152885335998,0,0.0374718960779415,0
19,7,27.3238380809595,36.3318340829585,0,0,36.344327836082
19,1,58.6060454659006,41.3814639020734,0,0.0124906320259805,0
19,3,55.9565434565435,44.030969030969,0,0.0124875124875125,0
19,6,51.2679575265459,48.7070580886946,0,0,0.0249843847595253
20,5,51.1238761238761,48.464035964036,0,0.0124875124875125,0.3996003996004
20,4,53.7414116177389,46.2585883822611,0,0,0
20,1,60.1773226773227,39.8101898101898,0,0.0124875124875125,0
20,2,26.4452490947684,33.162691971532,0,0.0124859533025346,40.3795729803971
20,7,0.187312687312687,0.0374625374625375,0.0124875124875125,0,99.7627372627373
20,3,45.3148425787106,54.647676161919,0,0.0124937531234383,0.0249875062468766
20,6,43.0748095416511,56.6504308729861,0,0.0249781441238916,0.249781441238916
21,5,29.8026480139895,34.3367474394204,0.0124906320259805,0,35.8481139145641
21,4,40.6644186336955,54.140127388535,0,0,5.19545397776945
21,1,53.7904333708005,46.2095666291995,0,0,0
