moment,node,user,system,iowait,softirq,idle
1,5,0.0999250562078441,0.0499625281039221,0.0124906320259805,0,99.8376217836623
1,2,0.162378216337747,0.024981264051961,0.024981264051961,0.0124906320259805,99.7751686235324
1,3,0.162398500936914,0.0374765771392879,0.0374765771392879,0,99.7626483447845
1,4,0.262172284644195,0.0374531835205993,0.0249687890137328,0,99.6754057428215
1,1,0.23729236917697,0.0499562882477832,0.0124890720619458,0,99.7002622705133
1,7,0.174868848363727,0.024981264051961,0.024981264051961,0,99.7751686235324
1,6,0.124859533025346,0.0499438132101386,0.0124859533025346,0,99.812710700462
2,5,0.0998377636340946,0.112317484088356,0.0124797204542618,0.0249594409085236,99.7504055909148
2,3,0.0624531601299026,0.024981264051961,0,0,99.9125655758181
2,2,0.199900049975012,0.312343828085957,0,0.0374812593703148,99.4502748625687
2,4,0.137482814648169,0.212473440819898,0,0.0374953130858643,99.6125484314461
2,1,0.187312687312687,0.024975024975025,0.0124875124875125,0,99.7752247752248
2,7,0.112345524903258,0.049931344401448,0,0.012482836100362,99.8252402945949
2,6,4.36304538067258,0.837604700587573,0,0.0250031253906738,94.7743467933492
3,3,6.3,0.9375,0.0125,0.0625,92.6875
3,2,6.42982236677508,1.16337252939705,0.125093820365274,0.0125093820365274,92.2692019014261
3,5,5.87130696044066,1.11417125688533,0.0125187781672509,0.0250375563345018,92.9769654481723
3,4,5.93093093093093,1.25125125125125,0.0625625625625626,0.025025025025025,92.7302302302302
3,1,5.87057203655026,1.11403179371636,0.0125172111653524,0.0500688446614094,92.9528101139066
3,7,5.56597873671044,1.11319574734209,0,0.0375234521575985,93.2833020637899
3,6,13.9569784892446,1.01300650325163,0.125062531265633,0,84.9049524762381
4,5,9.46115288220551,0.839598997493734,0.012531328320802,0.112781954887218,89.5739348370927
4,3,5.39258519535638,0.386967919111222,0.12482836100362,0,94.0956185245288
4,2,4.72145890582063,0.324756432675493,0.0874344241818636,0,94.866350237322
4,4,4.95371528646485,0.375281461095822,0.0125093820365274,0,94.6584938704028
4,1,5.09322988361907,0.350394193467651,0.0125140783381304,0,94.5438618445751
4,6,7.82815631262525,0.588677354709419,0.0250501002004008,0.0250501002004008,91.5330661322645
4,7,6.43106893106893,0.474525474525474,0.0124875124875125,0,93.0819180819181
5,3,43.8996865203762,1.51724137931034,0,0.0501567398119122,54.5329153605016
5,5,38.9105547867656,4.55403195370487,0.0125801987671405,0.96867530506982,55.5541577556925
5,2,43.4956804807813,1.52748215850757,0.0125203455615375,0.05008138224615,54.9142356329035
5,1,38.8260432378079,3.02916038210156,0,0.502765208647562,57.6420311714429
5,4,40.9735290427801,3.12382386149793,0,0.426546230084055,55.4761008656379
5,6,57.8987150415722,4.01864449483497,0.0251952632905014,0.566893424036281,37.4905517762661
5,7,47.2444889779559,1.50300601202405,0,0.062625250501002,51.189879759519
6,5,59.5720720720721,1.58908908908909,0,0.35035035035035,38.4884884884885
6,3,62.6030477142143,0.449662752935299,0.024981264051961,0.0749437921558831,36.8473644766425
6,2,60.865216304076,1.18779694923731,0.0250062515628907,0.250062515628907,37.6594148537134
6,1,58.1360390830515,2.10447200300639,0.0125266190655142,0.513591381686083,39.2333709131905
6,6,91.8438829121841,0.700525394045534,0,0.325243932949712,7.13034776082062
6,4,61.3286625797573,1.20105091955461,0.0250218941573877,0.237707994495183,37.2075566120355
6,7,62.4109931292942,0.374765771392879,0.0499687695190506,0.112429731417864,37.051842598376
7,5,56.2406015037594,1.77944862155388,0,0.538847117794486,41.4411027568922
7,3,59.0721003134796,1.78056426332288,0,0.413793103448276,38.7335423197492
7,2,54.7610086563794,2.22054949190817,0.0125454773554134,0.664910299836909,42.3409860745201
7,4,59.0584700137724,1.03918868160761,0,0.425691749092275,39.4766495555277
7,1,60.9027256814204,0.925231307826957,0,0.16254063515879,38.0095023755939
7,6,81.7646321594185,2.74470485023186,0,0.939967414462965,14.5506955758867
7,7,57.1159638554217,1.88253012048193,0.0125502008032129,0.589859437751004,40.3990963855422
8,5,58.8684441106521,2.06533984228314,0.0125172111653524,0.68844661409438,38.365252221805
8,3,62.0719820044989,0.774806298425394,0.0124968757810547,0.187453136715821,36.9532616845789
8,2,59.0863579474343,1.36420525657071,0,0.375469336670839,39.1739674593242
8,1,60.7259073842303,1.36420525657071,0.0125156445556946,0.262828535669587,37.6345431789737
8,4,59.181374389786,0.963825259732132,0,0.525722868944799,39.3165602703718
8,6,91.175,0.9125,0,0.35,7.5625
8,7,62.2766462576534,0.499812570286143,0.0124953142571536,0.0999625140572285,37.1110833437461
9,5,49.4286073088032,2.72510360416928,0,1.25580811252041,46.5904809745071
9,3,52.9419160170983,2.81619311038471,0,1.08121699773699,43.16067387478
9,2,59.8949868733592,0.8126015751969,0,0.337542192774097,38.9548693586698
9,4,56.5820727590949,2.02525315664458,0,0.600075009376172,40.7925990748844
9,1,55.3923414940364,1.64469554300063,0.263653483992467,0.841180163214062,41.8455743879473
9,6,77.6256281407035,3.41708542713568,0,1.30653266331658,17.6507537688442
9,7,58.6168084042021,1.38819409704852,0,0.425212606303152,39.5697848924462
10,5,60.9060192716806,1.13878112876987,0.412964585158303,0.250281566762608,37.2919534476286
10,3,58.609022556391,1.02756892230576,0.012531328320802,0.56390977443609,39.7744360902256
10,2,55.4010025062657,1.96741854636591,0.263157894736842,0.664160401002506,41.6917293233083
10,4,59.7522832478419,0.763167771800325,0.362817465282122,0.262729888652571,38.8590016264231
10,6,86.9140135372274,1.50413637503134,0,0.576585610428679,11.0052644773126
10,1,57.5169130543723,0.776747682285142,0.0501127536958156,0.45101478326234,41.2052117263844
10,7,55.483143251034,2.54417846847976,0.26319087604963,0.639177841834816,41.0577766637423
11,5,56.9710635099587,1.37792809720656,0.0125266190655142,0.588751096079168,41.0497306776901
11,3,58.9605510331872,1.25234815278647,0.175328741390106,0.463368816530996,39.1484032561052
11,2,60.5105105105105,1.35135135135135,0.187687687687688,0.337837837837838,37.6126126126126
11,4,61.577958672511,1.39010644959299,0.175328741390106,0.200375704445836,36.6562304320601
11,6,77.9686520376176,2.80877742946708,0.188087774294671,1.47962382445141,17.5548589341693
11,1,57.2394789579158,1.29008016032064,0,0.713927855711423,40.7565130260521
11,7,57.2537238703217,1.26423832770059,0.0250344223307047,0.575791713606209,40.8812116660408
12,5,59.3436873747495,0.513527054108216,0.0125250501002004,0.488476953907816,39.6417835671343
12,3,55.7141068969834,1.76492677431468,0,0.563274502440856,41.9576918262611
12,2,57.3251595145753,0.537970724383836,0,0.400350306518203,41.7365194545227
12,4,54.4349787020797,0.989726885492358,0,0.51365572538211,44.0616386870458
12,6,87.7362032286322,1.65185834063321,0,0.538105368539607,10.073833062195
12,1,55.1063829787234,1.06382978723404,0,0.750938673341677,43.0788485607009
12,7,61.431784107946,0.949525237381309,0,0.0999500249875062,37.5187406296852
13,5,29.6935584740463,0.737961225766104,0,0.200125078173859,69.3683552220138
13,3,25.611132004513,0.97781120722076,0.0125360411182149,0.476369562492165,72.9221511846559
13,2,37.5969962453066,1.47684605757196,0,0.625782227784731,60.3003754693367
13,4,12.7049693328326,0.550757291275504,0,0.325447490299161,86.4188258855927
13,6,52.5347352609839,1.21416948303918,0,0.337964701464514,45.9006133433471
13,1,37.9353545477324,0.826860435980957,0.0125281884239539,0.238035580055124,60.9872212478076
13,7,55.079544031066,0.526118000751597,0.0125266190655142,0.300638857572341,44.0811724915445
14,5,8.04655237141785,0.287823801776999,0,0.200225253410086,91.4528844950569
14,2,7.67883941970986,0.387693846923462,0,0.250125062531266,91.6833416708354
14,3,4.6,0.1125,0.0125,0.1,95.175
14,4,0.474940632420947,0.0874890638670166,0,0.0374953130858643,99.4000749906262
14,6,20.6188149818364,1.71614681197545,0,0.413378429161969,77.2516597770262
14,1,15.234521575985,0.250156347717323,0,0.16260162601626,84.3527204502814
14,7,28.1743050338092,1.17705985474581,0.0125219133483596,0.388179313799148,70.2479338842975
15,5,37.5125,2.4875,0,0.0375,59.9625
15,2,27.4578388507183,1.93628981886321,0.0124921923797626,0.0624609618988132,70.5309181761399
15,3,28.9983743903964,2.92609728648243,0,0.0125046892584719,68.0630236338627
15,6,37.5015677912956,14.3735105982692,0.0125423303649818,0.0125423303649818,48.0998369497053
15,1,30.3873636705528,1.74250971543187,0,0.0752162467092892,67.794910367306
15,4,21.9734867433717,2.53876938469235,0,0.0250125062531266,75.4627313656828
15,7,25.498307634449,2.1060549078601,0,0.175504575655008,72.2201328820359
16,5,31.0254163014899,13.6596970076374,0.0125203455615375,0.212845874546137,55.089520470765
16,2,17.9197994987469,1.00250626566416,0,0.087719298245614,80.9899749373434
16,3,29.276563677468,2.7128862094951,0.0125596583772921,0.288872142677719,67.7091183119819
16,6,34.0446899322119,7.65754456439869,0.0251067034898318,0.150640220938991,58.1220185789606
16,1,37.0077752696263,4.87835465262102,0,0.17557060446451,57.9382994732882
16,4,17.6920185440421,1.59127928830974,0.0375892745270016,0.0375892745270016,80.6415236185942
16,7,16.7961895211833,1.65455001253447,0,0.150413637503134,81.3988468287791
17,2,32.7797202797203,2.5974025974026,0.124875124875125,0,64.498001998002
17,5,39.5804719690348,26.6325383943064,0.124859533025346,0.0124859533025346,33.6496441503309
17,3,29.6402697976518,6.66999750187359,0.124906320259805,0.0124906320259805,63.5523357481889
17,6,47.6005998500375,1.81204698825294,0.0124968757810547,0.0124968757810547,50.5623594101475
17,4,32.962360885332,0.512692259597349,0.112542203326247,0,66.4124046517444
17,1,36.7665418227216,7.91510611735331,0.0374531835205993,0.0124843945068664,55.2684144818976
17,7,32.4912456228114,0.562781390695348,0.0250125062531266,0,66.9209604802401
18,5,61.3863863863864,2.45245245245245,1.67667667667668,0.0875875875875876,34.3968968968969
18,2,56.6396002498438,1.66146158650843,2.52342286071206,0.124921923797626,39.050593379138
18,3,49.7937757780277,2.18722659667542,2.39970003749531,0.0749906261717285,45.5443069616298
18,6,82.2397200349956,12.1859767529059,0,0.0124984376952881,5.5618047744032
18,4,34.2167770971371,0.975121890236279,1.73771721465183,0.0750093761720215,62.9953744218027
18,1,43.9929991248906,1.57519689961245,0.0125015626953369,0,54.4193024128016
18,7,33.3874594054459,0.911816137896578,0.0124906320259805,0.0499625281039221,65.6382712965276
19,5,32.0390781563126,3.75751503006012,1.25250501002004,0.125250501002004,62.8256513026052
19,2,1.4621344663834,0.312421894526368,0.0124968757810547,0.0124968757810547,98.2004498875281
19,3,4.9449173760641,3.38007010515774,0.0125187781672509,0.0751126690035053,91.5873810716074
19,6,37.0032491877031,13.7465633591602,0.137465633591602,0.137465633591602,48.9752561859535
19,4,4.325,3.475,0.0125,0.0875,92.1
19,1,17.8964482241121,2.65132566283142,0.0125062531265633,0.0750375187593797,79.3646823411706
19,7,6.1372745490982,3.48196392785571,0.112725450901804,0.137775551102204,90.1302605210421
20,5,26.1851015801354,2.65864058189115,0.0125407574617507,0.225733634311512,70.9179834462002
20,2,17.375,0.525,0.0125,0.025,82.0625
20,6,31.5452261306533,5.0251256281407,3.25376884422111,0.263819095477387,59.9120603015075
20,3,22.879016064257,1.48092369477912,0.0125502008032129,0.17570281124498,75.4518072289157
20,1,19.189392044033,1.45108831623718,0.0125093820365274,0.0500375281461096,79.2969727295472
20,4,24.2010276977065,1.8172703346284,0.0375986965785186,0.137861887454568,73.806241383632
20,7,20.8067142678191,4.04609795816109,2.6431166228235,0.150319428786171,72.3537517224101
21,5,42.994625671791,5.8742657167854,0.0124984376952881,0.0124984376952881,51.106111736033
21,2,51.2314039254907,4.70058757344668,0.0750093761720215,0,43.9929991248906
21,6,70.8270864567716,24.1504247876062,1.47426286856572,0.337331334332834,3.21089455272364
21,3,37.0971771171621,2.46065450911816,0.0124906320259805,0,60.4296777416937
21,1,31.3554028732042,3.54778263585259,0.0124921923797626,0.0249843847595253,65.0593379138039
21,4,32.416895776056,1.39965008747813,0.0124968757810547,0.0124968757810547,66.1584603849038
21,7,45.6328876671248,4.09846307634637,1.88679245283019,0.0749718855429214,48.3068849181557
22,5,8.04568846491779,1.38069536839463,0.0376553282289444,0.188276641144722,90.3476841973139
22,2,3.22540317539692,1.9627453431679,0,0.112514064258032,94.6993374171771
22,6,31.8524096385542,5.49698795180723,0.0376506024096386,0.200803212851406,62.4121485943775
22,3,7.69907058528008,1.56995729716152,0,0.138156242150214,90.5928158754082
